Teacher_ID,Teacher_Name,Teacher_Role,Class_Assigned,Section_Assigned,Subject_Expertise,Monthly_Salary
TCH2044,Neha Nair,Assistant Teacher,4,D,Coding,28894
TCH2045,Vikram Gupta,Main Teacher,4,E,Coding,52492
TCH2046,Anjali Das,Assistant Teacher,4,E,Social Studies,29524
TCH2047,Amit Choudhury,Main Teacher,4,F,Coding,48005
TCH2048,Amit Verma,Assistant Teacher,4,F,Coding,29198
TCH2049,Sunita Kumar,Main Teacher,5,A,Maths,43946
TCH2050,Priya Verma,Assistant Teacher,5,A,English,25981
TCH2051,Priya Patel,Main Teacher,5,B,Social Studies,52547
TCH2052,Sanjay Gupta,Assistant Teacher,5,B,English,25893
TCH2053,Anjali Singh,Main Teacher,5,C,Social Studies,54293
TCH2054,Rohan Kumar,Assistant Teacher,5,C,Social Studies,28187
TCH2055,Vikram Reddy,Main Teacher,5,D,Coding,46537
TCH2056,Karan Mishra,Assistant Teacher,5,D,Social Studies,25698
TCH2057,Neha Kumar,Main Teacher,5,E,Science,41049
TCH2058,Rajesh Sharma,Assistant Teacher,5,E,Social Studies,26537
TCH2059,Deepak Choudhury,Main Teacher,5,F,Science,40117
TCH2060,Priya Reddy,Assistant Teacher,5,F,English,22482
TCH2061,Deepak Verma,Main Teacher,6,A,Maths,54084
TCH2062,Rajesh Verma,Assistant Teacher,6,A,Social Studies,23949
TCH2063,Jyoti Nair,Main Teacher,6,B,Civic Sense,43510
TCH2064,Sanjay Reddy,Assistant Teacher,6,B,Social Studies,26720
TCH2065,Alok Kumar,Main Teacher,6,C,Civic Sense,53230
TCH2066,Rohan Kumar,Assistant Teacher,6,C,Maths,22794
TCH2067,Rohan Joshi,Main Teacher,6,D,Civic Sense,46735
TCH2068,Sneha Reddy,Assistant Teacher,6,D,Maths,27516
TCH2069,Neha Sharma,Main Teacher,6,E,Civic Sense,51931
TCH2070,Rajesh Patel,Assistant Teacher,6,E,Maths,24036
TCH2071,Vikram Kumar,Main Teacher,6,F,Social Studies,47350
TCH2072,Sanjay Mehta,Assistant Teacher,6,F,Science,24281
TCH2073,Sneha Kumar,Main Teacher,7,A,Maths,47260
TCH2074,Neha Sharma,Assistant Teacher,7,A,English,26428
TCH2075,Amit Verma,Main Teacher,7,B,Science,42724
TCH2076,Rohan Mishra,Assistant Teacher,7,B,Civic Sense,23751
TCH2077,Megha Sharma,Main Teacher,7,C,Science,46209
TCH2078,Amit Mehta,Assistant Teacher,7,C,Coding,29590
TCH2079,Sneha Singh,Main Teacher,7,D,Civic Sense,51412
TCH2080,Alok Gupta,Assistant Teacher,7,D,Science,24430
TCH2081,Vikram Sharma,Main Teacher,7,E,Social Studies,52054
TCH2082,Rahul Reddy,Assistant Teacher,7,E,Coding,22468
TCH2083,Rahul Choudhury,Main Teacher,7,F,Civic Sense,48238
TCH2084,Anjali Sharma,Assistant Teacher,7,F,Social Studies,22656
